Label,Area_cm2,Strain,Lifestage,Diet,Brood,Brood_ID,PairedBrood
E_C1_B1_L.jpeg,0.878,EVE,larva,control_Gainsville,1,B1,E_B1
E_C1_B1_L.jpeg,1.085,EVE,larva,control_Gainsville,1,B1,E_B1
E_C1_B1_PP.jpeg,0.594,EVE,prepupa,control_Gainsville,1,B1,E_B1
E_C1_B1_PP.jpeg,0.595,EVE,prepupa,control_Gainsville,1,B1,E_B1
E_C1_B1_PP.jpeg,0.598,EVE,prepupa,control_Gainsville,1,B1,E_B1
E_C1_B1_PP.jpeg,0.603,EVE,prepupa,control_Gainsville,1,B1,E_B1
E_C1_B1_PP.jpeg,0.624,EVE,prepupa,control_Gainsville,1,B1,E_B1
E_C1_B1_PP.jpeg,0.664,EVE,prepupa,control_Gainsville,1,B1,E_B1
E_C1_B1_PP.jpeg,0.676,EVE,prepupa,control_Gainsville,1,B1,E_B1
E_C1_B1_PP.jpeg,0.676,EVE,prepupa,control_Gainsville,1,B1,E_B1
E_C1_B1_PP.jpeg,0.692,EVE,prepupa,control_Gainsville,1,B1,E_B1
E_C1_B1_PP.jpeg,0.695,EVE,prepupa,control_Gainsville,1,B1,E_B1
E_C1_B1_PP.jpeg,0.697,EVE,prepupa,control_Gainsville,1,B1,E_B1
E_C1_B1_PP.jpeg,0.7,EVE,prepupa,control_Gainsville,1,B1,E_B1
E_C1_B1_PP.jpeg,0.703,EVE,prepupa,control_Gainsville,1,B1,E_B1
E_C1_B1_PP.jpeg,0.705,EVE,prepupa,control_Gainsville,1,B1,E_B1
E_C1_B1_PP.jpeg,0.705,EVE,prepupa,control_Gainsville,1,B1,E_B1
E_C1_B1_PP.jpeg,0.718,EVE,prepupa,control_Gainsville,1,B1,E_B1
E_C1_B1_PP.jpeg,0.723,EVE,prepupa,control_Gainsville,1,B1,E_B1
E_C1_B1_PP.jpeg,0.729,EVE,prepupa,control_Gainsville,1,B1,E_B1
E_C1_B1_PP.jpeg,0.732,EVE,prepupa,control_Gainsville,1,B1,E_B1
E_C1_B1_PP.jpeg,0.736,EVE,prepupa,control_Gainsville,1,B1,E_B1
E_C1_B1_PP.jpeg,0.742,EVE,prepupa,control_Gainsville,1,B1,E_B1
E_C1_B1_PP.jpeg,0.749,EVE,prepupa,control_Gainsville,1,B1,E_B1
E_C1_B1_PP.jpeg,0.759,EVE,prepupa,control_Gainsville,1,B1,E_B1
E_C1_B1_PP.jpeg,0.765,EVE,prepupa,control_Gainsville,1,B1,E_B1
E_C1_B1_PP.jpeg,0.765,EVE,prepupa,control_Gainsville,1,B1,E_B1
E_C1_B1_PP.jpeg,0.773,EVE,prepupa,control_Gainsville,1,B1,E_B1
E_C1_B1_PP.jpeg,0.777,EVE,prepupa,control_Gainsville,1,B1,E_B1
E_C1_B1_PP.jpeg,0.781,EVE,prepupa,control_Gainsville,1,B1,E_B1
